longitude,latitude,time,SOG,Angle Difference
-74.81707,38.45333,Sat Apr 10 04:26:51 2021,3.8,1.4000000000000057
-74.81724,38.4521,Sat Apr 10 04:28:01 2021,3.7,-0.8000000000000114
-74.81739,38.45106,Sat Apr 10 04:29:11 2021,3.3,2.6999999999999886
-74.81758,38.44992,Sat Apr 10 04:30:20 2021,3.6,1.0999999999999943
-74.81772,38.4487,Sat Apr 10 04:31:31 2021,3.8,-2.5
-74.81788,38.4475,Sat Apr 10 04:32:40 2021,3.4,-1.1999999999999886
-74.81807,38.44649,Sat Apr 10 04:33:50 2021,3.1,0.4000000000000057
-74.8183,38.44543,Sat Apr 10 04:35:00 2021,3.6,2.0999999999999943
-74.8185,38.44421,Sat Apr 10 04:36:10 2021,3.8,0.19999999999998863
-74.81869,38.44298,Sat Apr 10 04:37:20 2021,3.8,-0.4000000000000057
-74.81889,38.4419,Sat Apr 10 04:38:31 2021,3.2,-3.9000000000000057
-74.8191,38.44096,Sat Apr 10 04:39:41 2021,2.8,3.0
-74.81926,38.44007,Sat Apr 10 04:40:51 2021,2.8,6.099999999999994
-74.8194,38.439,Sat Apr 10 04:42:00 2021,3.6,1.9000000000000057
-74.81952,38.43779,Sat Apr 10 04:43:11 2021,3.8,3.4000000000000057
-74.81967,38.43653,Sat Apr 10 04:44:20 2021,3.9,0.19999999999998863
-74.81985,38.43529,Sat Apr 10 04:45:29 2021,4.0,2.8000000000000114
-74.82009,38.43386,Sat Apr 10 04:46:50 2021,3.8,-0.5
-74.82034,38.43262,Sat Apr 10 04:48:01 2021,3.7,3.0999999999999943
-74.82053,38.4314,Sat Apr 10 04:49:11 2021,3.7,2.0
-74.82072,38.43022,Sat Apr 10 04:50:20 2021,3.7,2.4000000000000057
-74.82093,38.429,Sat Apr 10 04:51:31 2021,3.8,1.8000000000000114
-74.8211,38.42779,Sat Apr 10 04:52:41 2021,3.8,-1.5
-74.82127,38.42658,Sat Apr 10 04:53:50 2021,3.8,-1.5999999999999943
-74.82146,38.42538,Sat Apr 10 04:54:59 2021,3.7,0.6999999999999886
-74.82169,38.42419,Sat Apr 10 04:56:10 2021,3.5,-0.19999999999998863
-74.82185,38.42299,Sat Apr 10 04:57:21 2021,3.7,-0.19999999999998863
-74.82203,38.4218,Sat Apr 10 04:58:30 2021,3.7,0.5999999999999943
-74.82222,38.42043,Sat Apr 10 04:59:50 2021,3.8,-2.9000000000000057
-74.82226,38.42025,Sat Apr 10 05:00:00 2021,3.8,-2.3000000000000114
-74.8225,38.41905,Sat Apr 10 05:01:10 2021,3.8,0.09999999999999432
-74.82267,38.41781,Sat Apr 10 05:02:21 2021,3.8,0.0
-74.82285,38.41662,Sat Apr 10 05:03:30 2021,3.7,-4.099999999999994
-74.82302,38.41542,Sat Apr 10 05:04:40 2021,3.7,-4.800000000000011
-74.82321,38.41422,Sat Apr 10 05:05:50 2021,3.8,-4.699999999999989
-74.82346,38.413,Sat Apr 10 05:07:01 2021,3.8,-1.0999999999999943
-74.82376,38.41143,Sat Apr 10 05:08:30 2021,3.8,-2.4000000000000057
-74.82395,38.41022,Sat Apr 10 05:09:40 2021,3.8,-1.3000000000000114
-74.82411,38.40915,Sat Apr 10 05:10:41 2021,3.7,-4.599999999999994
-74.82432,38.40791,Sat Apr 10 05:11:51 2021,3.9,1.5999999999999943
-74.82449,38.40651,Sat Apr 10 05:13:10 2021,3.9,-3.5
-74.82464,38.40541,Sat Apr 10 05:14:11 2021,3.9,-3.0
-74.82485,38.40418,Sat Apr 10 05:15:20 2021,3.9,-2.3000000000000114
-74.82505,38.40293,Sat Apr 10 05:16:30 2021,3.9,-3.8000000000000114
-74.82523,38.40166,Sat Apr 10 05:17:41 2021,3.9,-2.5999999999999943
-74.82546,38.40023,Sat Apr 10 05:19:00 2021,3.9,-1.5
-74.82569,38.39893,Sat Apr 10 05:20:11 2021,4.0,-3.0999999999999943
-74.82592,38.39768,Sat Apr 10 05:21:20 2021,4.0,-2.0
-74.82612,38.39638,Sat Apr 10 05:22:31 2021,3.9,-2.5999999999999943
-74.82632,38.39513,Sat Apr 10 05:23:40 2021,4.0,-4.699999999999989
-74.82653,38.39384,Sat Apr 10 05:24:51 2021,4.0,-2.3000000000000114
-74.82673,38.39256,Sat Apr 10 05:26:01 2021,4.0,-2.1999999999999886
-74.82694,38.39128,Sat Apr 10 05:27:10 2021,4.0,-2.0999999999999943
-74.82716,38.38998,Sat Apr 10 05:28:21 2021,4.0,2.5
-74.8274,38.38872,Sat Apr 10 05:29:31 2021,3.9,-2.6999999999999886
-74.8276,38.38748,Sat Apr 10 05:30:41 2021,3.9,0.6999999999999886
-74.82776,38.38621,Sat Apr 10 05:31:50 2021,4.0,-1.0
-74.82798,38.38492,Sat Apr 10 05:33:00 2021,4.0,-1.8000000000000114
-74.82819,38.38361,Sat Apr 10 05:34:11 2021,4.0,-1.5
-74.82838,38.38234,Sat Apr 10 05:35:20 2021,4.0,-3.4000000000000057
-74.82863,38.38107,Sat Apr 10 05:36:30 2021,4.0,1.0999999999999943
-74.82881,38.37975,Sat Apr 10 05:37:41 2021,4.0,-0.8000000000000114
-74.82899,38.37847,Sat Apr 10 05:38:49 2021,4.0,-1.5
-74.8292,38.37716,Sat Apr 10 05:40:00 2021,4.0,-0.19999999999998863
-74.82942,38.37585,Sat Apr 10 05:41:11 2021,4.0,1.4000000000000057
-74.8296,38.37457,Sat Apr 10 05:42:20 2021,4.1,-1.8000000000000114
-74.82983,38.37324,Sat Apr 10 05:43:31 2021,4.1,0.30000000000001137
-74.83005,38.37192,Sat Apr 10 05:44:41 2021,4.2,0.30000000000001137
-74.83025,38.37061,Sat Apr 10 05:45:51 2021,4.1,-0.5
-74.83047,38.36932,Sat Apr 10 05:47:00 2021,4.1,0.9000000000000057
-74.83068,38.36803,Sat Apr 10 05:48:11 2021,4.1,1.0999999999999943
-74.8309,38.36671,Sat Apr 10 05:49:20 2021,4.1,3.0
-74.83113,38.36538,Sat Apr 10 05:50:31 2021,4.2,1.0999999999999943
-74.83137,38.36409,Sat Apr 10 05:51:40 2021,4.1,-1.3000000000000114
-74.83154,38.36274,Sat Apr 10 05:52:51 2021,4.1,1.0
-74.83175,38.36142,Sat Apr 10 05:54:01 2021,4.1,-2.1999999999999886
-74.83196,38.36009,Sat Apr 10 05:55:10 2021,4.1,1.8000000000000114
-74.83214,38.35873,Sat Apr 10 05:56:21 2021,4.2,-0.5
-74.83239,38.35701,Sat Apr 10 05:57:51 2021,4.1,-2.5
-74.83263,38.35571,Sat Apr 10 05:59:00 2021,4.2,1.5
-74.8328,38.35456,Sat Apr 10 06:00:00 2021,4.2,1.5999999999999943
-74.83306,38.35301,Sat Apr 10 06:01:21 2021,3.9,0.9000000000000057
-74.83327,38.3519,Sat Apr 10 06:02:29 2021,3.6,7.0
-74.83355,38.35074,Sat Apr 10 06:03:41 2021,3.6,6.900000000000006
-74.83365,38.34961,Sat Apr 10 06:04:51 2021,3.5,3.5
-74.83381,38.3485,Sat Apr 10 06:06:00 2021,3.5,5.800000000000011
-74.83394,38.34736,Sat Apr 10 06:07:10 2021,3.6,6.5
-74.83409,38.34622,Sat Apr 10 06:08:19 2021,3.6,3.4000000000000057
-74.83429,38.34504,Sat Apr 10 06:09:30 2021,3.5,3.6999999999999886
-74.83448,38.34388,Sat Apr 10 06:10:41 2021,3.6,5.900000000000006
-74.83467,38.34275,Sat Apr 10 06:11:50 2021,3.6,4.699999999999989
-74.83484,38.34158,Sat Apr 10 06:13:01 2021,3.6,4.199999999999989
-74.83508,38.34045,Sat Apr 10 06:14:11 2021,3.5,12.0
-74.83525,38.33935,Sat Apr 10 06:15:21 2021,3.5,5.400000000000006
-74.83544,38.33822,Sat Apr 10 06:16:31 2021,3.5,3.4000000000000057
-74.83563,38.33709,Sat Apr 10 06:17:40 2021,3.5,5.699999999999989
-74.83578,38.33593,Sat Apr 10 06:18:50 2021,3.6,5.099999999999994
-74.83595,38.33479,Sat Apr 10 06:19:59 2021,3.6,4.199999999999989
-74.83611,38.33382,Sat Apr 10 06:21:00 2021,3.6,7.5
-74.83627,38.33263,Sat Apr 10 06:22:11 2021,3.6,2.9000000000000057
-74.83644,38.3315,Sat Apr 10 06:23:20 2021,3.5,3.4000000000000057
-74.83663,38.33053,Sat Apr 10 06:24:21 2021,3.6,8.0
-74.83677,38.32942,Sat Apr 10 06:25:29 2021,3.6,2.1999999999999886
-74.83703,38.32825,Sat Apr 10 06:26:40 2021,3.5,6.300000000000011
-74.8372,38.32708,Sat Apr 10 06:27:51 2021,3.6,5.900000000000006
-74.83738,38.32594,Sat Apr 10 06:29:00 2021,3.6,7.099999999999994
-74.83753,38.32476,Sat Apr 10 06:30:11 2021,3.7,5.099999999999994
-74.83774,38.3236,Sat Apr 10 06:31:21 2021,3.6,3.5
-74.83791,38.32246,Sat Apr 10 06:32:30 2021,3.6,4.699999999999989
-74.8381,38.32126,Sat Apr 10 06:33:41 2021,3.7,4.400000000000006
-74.83829,38.3201,Sat Apr 10 06:34:50 2021,3.6,8.099999999999994
-74.83846,38.31896,Sat Apr 10 06:36:00 2021,3.6,5.599999999999994
-74.83863,38.31794,Sat Apr 10 06:37:01 2021,3.6,2.3000000000000114
-74.83881,38.31679,Sat Apr 10 06:38:11 2021,3.6,4.699999999999989
-74.83899,38.31562,Sat Apr 10 06:39:20 2021,3.6,5.099999999999994
-74.83918,38.31445,Sat Apr 10 06:40:31 2021,3.6,4.699999999999989
-74.83937,38.31325,Sat Apr 10 06:41:41 2021,3.7,5.199999999999989
