Bridge,Daily Trips,Total Trips
DELAWARE EXPRESSWAY OVER DARBY CREEK (PA),0.0,0.0
DIAMOND CAUSEWAY,0.0,0.0
DOYLE E CARLTON DRAW(FL),0.0,0.0
DR MARTIN LUTHER KING JR MEMORIAL  (IN),0.0,0.0
DUMBARTON ,0.0,0.0
E 11TH ST OVER CITY WATERWAY CS2749,0.0,0.0
E 4TH STREET OVER CHRISTINA RIVER(DE),0.0,0.0
E 79TH DRAW(FL),0.0,0.0
E SUNRISE BOULEVARD,0.0,0.0
ELLIS S VIESER MEMORIAL ,0.0,0.0
FIRST AVENUE SOUTH  (WA),0.0,0.0
FRANCIS R BUONO MEMORIAL ,0.0,0.0
GEORGE C PLATT MEMORIAL ,0.0,0.0
GERRITSEN INLET ,0.0,0.0
GILMERTON  (VA),0.0,0.0
HANOVER STREET  (MD),0.0,0.0
HARLEM RIVER SWING ,0.0,0.0
HAULOVER INLET (FL),0.0,0.0
HAWTHORNE ,0.0,0.0
HENRY HUDSON ,0.0,0.0
HIGH STREET ,0.0,0.0
HOWARD FRANKLAND (FL),0.0,0.0
HWY 10,0.0,0.0
I-5 (Hwy 1) over Oregon Slough,0.0,0.0
I-95 over SUSQUEHANNA RIVER PA RR (MD),0.0,0.0
IH 10 SLASH US 90 EB over NECHES RIVER,0.0,0.0
IH 10 WB over Neches River,0.0,0.0
ILLINOIS STREET ,0.0,0.0
INDUSTRIAL HIGHWAY OVER DARBY CREEK,0.0,0.0
IS 95 SB over MIDDLE BRANCH (MD),0.0,0.0
JOHN F KENNEDY CAUSEWAY(FL),0.0,0.0
JULIA TUTTLE CAUSEWAY(FL),0.0,0.0
KENNEDY BOULEVARD (FL),0.0,0.0
KENT NARROWS  (MD),0.0,0.0
LAZARETTE CREEK ,0.0,0.0
LEVON HAGOP NISHIKIAN ,0.0,0.0
LEWIS AND CLARK RIVER ,0.0,0.0
LICATA (FL),0.0,0.0
MACOMBS DAM ,0.0,0.0
MADISON AVENUE ,0.0,0.0
MANETEE  (WA),0.0,0.0
MARQUAM ,0.0,0.0
MD 2 over SOUTH RIVER (MD),0.0,0.0
MILLARD E TYDINGS MEMORIAL  (MD),0.0,0.0
MILLER SWEENEY ,0.0,0.0
MORRISON ,0.0,0.0
N OCEAN DR OVER WHISKEY CREEK,0.0,0.0
NEW YOUNGS BAY ,0.0,0.0
NUECES BAY CAUSEWAY,0.0,0.0
OLIVER  (MN-WI),0.0,0.0
PARK STREET ,0.0,0.0
PASSYUNK AVENUE ,0.0,0.0
PLATT STREET (FL),0.0,0.0
PORT MIAMI ,0.0,0.0
PUENTE DE LA CONSTITUCION,0.0,0.0
QUEENS WAY S over QUEENSWAY DR,0.0,0.0
QUEENSBOUROUGH ,0.0,0.0
R. CLAYTON MITCHELL JR  (MD),0.0,0.0
RFK  BRONX CROSSING,0.0,0.0
RFK  HARLEM RIVER LIFT SPAIN,0.0,0.0
RIVA ROAD over SOUTH RIVER (MD),0.0,0.0
ROSS ISLAND ,0.0,0.0
ROUTE 163 MARINA DR,0.0,0.0
ROUTE 90 BATTLESHIP PKWY,0.0,0.0
S WALNUT ST OVER CHRISTINA RIVER(DE),0.0,0.0
SAN LEANDRO BAY BIKE ,0.0,0.0
SEARS POINT ,0.0,0.0
SELLWOOD ,0.0,0.0
SELMON EXPY(FL),0.0,0.0
"SENATOR JOHN E REILLY, SR (DE)",0.0,0.0
SH 146 NB over DICKINSON BAYOU (TX),0.0,0.0
SIDEROAD LT-212TH over POSEY CREEK (KS),0.0,0.0
SNELL ISLE BLVD NE(FL),0.0,0.0
SOUTH PLANT AVENUE (FL),0.0,0.0
SR 305 OVER AGATE PASS  (WA),0.0,0.0
SR-105 SB over DUNN CREEK(FL),0.0,0.0
STATE ROUTE 37 over NAPA RIVER AND WILSON AV,0.0,0.0
SUNRISE BOULEVARD ,0.0,0.0
SUNSHINE SKYWAY FISHING PIER(FL),0.0,0.0
THIRD AVENUE ,0.0,0.0
THUNDERBOLT ,0.0,0.0
TILIKUM CROSSING ,0.0,0.0
TURKEY POINT ROAD over SELBY BAY (MD),0.0,0.0
UNIVERSITY HEIGHTS ,0.0,0.0
US-17 (SR-15) over DOCTORS INLET(FL),0.0,0.0
US-17 SB (SR-15) over ORTEGA RIVER & RD.(FL),0.0,0.0
US-41 (SR-45) over PALM RIVER(FL),0.0,0.0
VINCENT R CSCIANO MEMORIAL ,0.0,0.0
W SHORE EXPY OVER FRESH KILLS,0.0,0.0
WANAMAKER AVE OVER DARBY CREEK,0.0,0.0
WARREN AVENUE  (WA),0.0,0.0
WASHINGTON ,0.0,0.0
WEST CASS ST (FL),0.0,0.0
WEST VENICIAN CAUSEWAY ,0.0,0.0
WICHELS(MARE ISLAND) CAUSEWAY,0.0,0.0
WILLIAM M POWELL ,0.0,0.0
WILLIS AVENUE ,0.0,0.0
